dataset,RecurrentGCN,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.329729437828064,68.9326856136322
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2407751083374023,74.9969847202301
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2491669654846191,75.15626883506775
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2817628383636477,75.38292813301086
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2411808967590332,75.35849165916443
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.2801425457000732,75.65335369110107
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.272748589515686,75.48013758659363
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2543888092041016,69.24571251869202
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2510499954223633,69.20799255371094
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2693973779678345,69.18984889984131
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.254435658454895,69.53073525428772
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.4168673753738403,69.51851677894592
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,2.092266321182251,69.63538670539856
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.25263774394989,75.62185001373291
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2498197555541992,75.43750309944153
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.241162896156311,75.41094255447388
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.236216425895691,75.57843255996704
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.281761884689331,75.50254034996033
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.2742873430252075,75.53740906715393
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2493308782577517,69.42839050292969
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.238406777381897,69.11594200134277
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2417908906936646,69.27276492118835
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2599849700927734,69.77614903450012
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.3159098625183103,69.63832592964172
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.889939546585083,69.64548683166504
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.246494174003601,75.31474161148071
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2410155534744265,75.2671287059784
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2849775552749634,75.72025179862976
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2437256574630735,75.32782936096191
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.3063595294952393,75.28005528450012
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.2627475261688232,75.21747207641602
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2508511543273926,69.36496686935425
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2452162504196167,68.9766047000885
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2163878679275513,69.03313302993774
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.3253228664398191,69.29420757293701
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.2755084037780762,69.41378116607666
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.7799502611160278,69.55344319343567
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2516255378723145,82.21273398399353
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.249339938163757,75.86352801322937
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.264443278312683,74.84416604042053
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2289819717407229,75.29449248313904
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.222203493118286,75.15462303161621
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.2560161352157593,74.6738498210907
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.251269817352295,85.28096103668213
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2490154504776,88.23235750198364
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2402082681655884,88.2204442024231
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2277404069900513,88.36970353126526
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.2288089990615845,88.37635231018066
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.7223109006881714,88.38967251777649
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2448174953460691,75.26326394081116
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2432336807250977,75.23500084877014
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2400765419006348,75.17943239212036
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.2727376222610474,75.25263476371765
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.2793004512786863,75.12973260879517
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.2689110040664673,75.17237639427185
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2372784614562988,69.46685719490051
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.254311442375183,69.62593531608582
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.2418115139007568,69.75709700584412
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.2442806959152222,69.79064965248108
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.3148127794265747,69.59718751907349
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.6379122734069824,69.16508340835571
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2513878345489502,75.29994440078735
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2503756284713743,83.0968987941742
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.2347126007080078,82.07396841049194
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.284774661064148,75.26395916938782
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.3376694917678833,75.34219336509705
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.310463309288025,75.98765921592712
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2501121759414673,69.56534552574158
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2392107248306274,68.82914996147156
fivenodes,DCRNN,STGCN,0.3,rand,2,16,linear,150,1.209463357925415,69.15296268463135
fivenodes,DCRNN,STGCN,0.3,rand,2,16,cubic,150,1.278090000152588,69.63415813446045
fivenodes,DCRNN,STGCN,0.8,rand,2,16,linear,150,1.960279107093811,69.6714859008789
fivenodes,DCRNN,STGCN,0.8,rand,2,16,cubic,150,1.2723612785339355,69.63935589790344
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.2416605949401855,75.99944758415222
fivenodes,DCRNN,IT-STGCN,0.0,,2,16,,150,1.245344638824463,75.85524392127991
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,linear,150,1.261188268661499,76.06248497962952
fivenodes,DCRNN,IT-STGCN,0.3,rand,2,16,cubic,150,1.252830982208252,75.93309092521667
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,linear,150,1.283450722694397,75.98148012161255
fivenodes,DCRNN,IT-STGCN,0.8,rand,2,16,cubic,150,1.3289368152618408,76.40690231323242
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.2460875511169434,69.49115133285522
fivenodes,DCRNN,STGCN,0.0,,2,16,,150,1.252630352973938,68.99498534202576
